'Na22','Co60','Ba133','Cs137'
'calib','calib','calib','calib'
0,0,0,0
0,0,0,1
37,49,36,97
312,555,464,1461
260,434,150,1126
260,443,107,909
255,466,101,830
273,472,98,787
240,460,134,808
263,481,135,895
264,520,203,867
292,489,376,1104
266,589,692,1311
358,555,1613,2193
316,608,3314,4393
386,667,4800,7293
354,607,4751,9145
371,656,3530,8272
317,633,1868,5626
345,579,922,3467
345,658,478,2222
342,623,303,1589
413,708,245,1300
390,694,324,1300
407,715,316,1229
403,678,379,1238
405,654,398,1172
375,628,382,1211
386,734,386,1207
410,681,327,1145
396,740,304,1227
467,755,385,1276
477,853,475,1416
588,895,504,1615
687,1078,680,1882
843,1314,898,2225
966,1519,1241,2551
1046,1635,1579,2734
1066,1678,1935,2658
939,1516,2109,2515
878,1410,2056,2190
774,1328,1723,2075
693,1206,1302,1854
683,1104,944,1746
587,1076,592,1647
531,942,383,1392
542,801,313,1253
473,783,219,1225
436,797,228,1153
412,739,224,1209
431,728,248,1103
402,698,247,1164
479,747,243,1183
399,704,248,1109
419,729,244,1109
445,771,253,1106
393,722,228,1182
456,761,240,1176
447,734,251,1080
426,744,211,1168
480,785,216,1129
459,808,248,1205
468,753,211,1152
464,790,223,1304
443,796,232,1236
426,808,236,1222
477,778,253,1188
437,792,237,1278
433,821,276,1247
493,798,268,1235
475,810,238,1250
489,855,308,1272
443,772,291,1225
468,821,294,1294
518,799,283,1295
510,854,251,1280
444,762,300,1344
513,851,263,1344
497,823,235,1378
535,803,285,1378
562,772,249,1456
522,834,253,1569
546,873,279,1542
569,802,264,1535
557,805,261,1605
546,826,255,1690
587,846,248,1729
568,845,260,1760
595,854,237,1764
595,854,249,1824
647,867,239,1697
612,923,242,1662
612,985,252,1706
590,931,224,1645
598,922,225,1750
603,983,228,1783
616,991,234,1707
622,1009,211,1768
583,989,212,1757
627,1023,218,1777
579,1011,223,1732
588,1017,193,1754
594,1073,201,1778
596,1088,217,1724
588,1045,207,1824
568,1120,189,1696
622,1049,205,1788
573,1086,199,1758
569,1104,227,1699
579,1076,234,1775
613,1044,215,1704
597,1095,228,1784
561,1063,230,1724
587,1102,285,1703
569,1039,281,1758
614,1071,277,1736
596,1065,283,1777
589,1131,303,1798
615,1094,345,1721
607,1036,349,1713
591,1146,332,1697
561,1115,355,1734
600,1094,380,1735
599,1056,418,1787
592,1060,388,1757
560,1067,462,1764
552,1039,465,1660
637,1131,480,1645
600,1085,419,1721
544,1063,417,1672
548,1078,434,1744
554,1007,431,1712
549,1074,391,1718
591,1047,366,1745
531,1021,332,1686
576,1040,339,1601
512,1082,332,1638
547,1060,307,1687
484,1038,344,1692
490,1056,398,1742
480,1053,414,1640
454,1015,458,1679
448,1052,541,1610
440,1018,604,1675
406,1062,689,1675
422,1031,743,1647
396,1034,803,1666
414,1069,809,1613
381,987,814,1560
388,1019,846,1638
399,1052,821,1652
365,981,828,1576
413,1006,805,1587
349,1049,696,1672
366,976,738,1753
355,954,684,1623
361,969,616,1642
378,944,541,1615
319,1028,470,1684
361,944,470,1631
319,942,405,1590
341,949,389,1593
306,977,300,1674
298,969,300,1675
350,960,230,1674
314,964,250,1697
317,938,242,1715
314,908,195,1654
282,945,202,1691
324,955,195,1714
307,888,150,1692
343,905,118,1757
301,946,124,1767
291,925,133,1697
291,860,129,1701
313,947,97,1729
319,892,86,1749
295,925,107,1725
291,914,97,1748
299,919,108,1653
290,890,96,1697
285,896,77,1620
276,918,95,1560
281,874,94,1531
283,862,88,1498
293,899,88,1452
339,884,61,1354
360,856,69,1359
333,869,61,1286
388,827,82,1249
439,859,59,1094
532,896,65,1094
536,842,57,1025
707,867,68,969
775,865,56,920
966,868,57,917
1130,873,64,853
1269,856,52,779
1471,839,66,750
1552,883,69,728
1733,879,52,678
1998,894,59,690
2093,828,68,642
2274,864,58,637
2184,799,68,615
2318,828,58,592
2310,845,45,585
2324,875,59,537
2333,767,75,537
2181,833,44,532
2115,796,57,513
1966,847,47,490
1814,834,48,439
1660,852,59,460
1559,830,51,453
1427,868,50,459
1266,808,54,404
1137,858,47,453
